Listening on 127.0.0.1:9999
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=13490.282382 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=13490.282382 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=13490.282382 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=13490.282382 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=13490.282382 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=570.722634 qd-score=14061.005017 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=14061.005017 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=14061.005017 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=14061.005017 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=14061.005017 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=674.523989 qd-score=14735.529006 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=14735.529006 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=14735.529006 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=14735.529006 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=14735.529006 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=14735.529006 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=14735.529006 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=14735.529006 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=14735.529006 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=14735.529006 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=14735.529006 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=32.021488 qd-score=14767.550494 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=14767.550494 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=14767.550494 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=14767.550494 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=14767.550494 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=14767.550494 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=14767.550494 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=14767.550494 emitter=initial-population
