Listening on 127.0.0.1:9999
16:22:43: 2703x RT, 45.1 creatures/sec. Fitness: best=1858.4, avg=1175.2, new=(qd-mutate=859.0). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:45: 2184x RT, 36.4 creatures/sec. Fitness: best=1858.4, avg=1175.2, new=(qd-mutate=935.6). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:47: 4101x RT, 68.3 creatures/sec. Fitness: best=1858.4, avg=1179.9, new=(qd-mutate=889.5). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:49: 4391x RT, 73.2 creatures/sec. Fitness: best=1858.4, avg=1179.9, new=(qd-mutate=842.5). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:52: 3094x RT, 51.6 creatures/sec. Fitness: best=1858.4, avg=1181.7, new=(qd-mutate=1010.2). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:54: 3071x RT, 51.2 creatures/sec. Fitness: best=1858.4, avg=1197.5, new=(qd-mutate=884.7). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:56: 3096x RT, 51.6 creatures/sec. Fitness: best=1858.4, avg=1197.5, new=(qd-mutate=886.6). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:58: 3766x RT, 62.8 creatures/sec. Fitness: best=1858.4, avg=1197.5, new=(qd-mutate=900.2). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:00: 3927x RT, 65.5 creatures/sec. Fitness: best=1858.4, avg=1197.5, new=(qd-mutate=830.2). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
3966515 bytes written to /Users/dag/projects/Machine-Evolved-credible-training/training-runs/me-v2-harmonic-qd-01-2h/config.json. 
16:23:02: 3936x RT, 65.6 creatures/sec. Fitness: best=1858.4, avg=1197.5, new=(qd-mutate=871.2). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:04: 3948x RT, 65.8 creatures/sec. Fitness: best=1858.4, avg=1197.5, new=(qd-mutate=931.6). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
