Using 8 worker threads.
Increasing queue sizes from 16 to 32.
Speed: 16.599998 creatures/sec. Server status: 15:41:25: 8177x RT, 136.3 creatures/sec. Fitness: best=2763.6, avg=1480.3, new=(qd-large-mutate=1021.0, qd-mutate=1035.9, template-m2-wheel-biased=710.0, curl-right=908.3, curl-left=826.0). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=57729.779
Speed: 16.999922 creatures/sec. Server status: 15:41:25: 8177x RT, 136.3 creatures/sec. Fitness: best=2763.6, avg=1480.3, new=(qd-large-mutate=1021.0, qd-mutate=1035.9, template-m2-wheel-biased=710.0, curl-right=908.3, curl-left=826.0). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=57729.779
Speed: 16.899904 creatures/sec. Server status: 15:41:25: 8177x RT, 136.3 creatures/sec. Fitness: best=2763.6, avg=1480.3, new=(qd-large-mutate=1021.0, qd-mutate=1035.9, template-m2-wheel-biased=710.0, curl-right=908.3, curl-left=826.0). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=57729.779
Speed: 16.899988 creatures/sec. Server status: 15:41:25: 8177x RT, 136.3 creatures/sec. Fitness: best=2763.6, avg=1480.3, new=(qd-large-mutate=1021.0, qd-mutate=1035.9, template-m2-wheel-biased=710.0, curl-right=908.3, curl-left=826.0). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=57729.779
Speed: 17.099987 creatures/sec. Server status: 15:41:25: 8177x RT, 136.3 creatures/sec. Fitness: best=2763.6, avg=1480.3, new=(qd-large-mutate=1021.0, qd-mutate=1035.9, template-m2-wheel-biased=710.0, curl-right=908.3, curl-left=826.0). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=57729.779
Speed: 17.299403 creatures/sec. Server status: 15:41:25: 8177x RT, 136.3 creatures/sec. Fitness: best=2763.6, avg=1480.3, new=(qd-large-mutate=1021.0, qd-mutate=1035.9, template-m2-wheel-biased=710.0, curl-right=908.3, curl-left=826.0). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=57729.779
Speed: 16.899973 creatures/sec. Server status: 15:41:25: 8177x RT, 136.3 creatures/sec. Fitness: best=2763.6, avg=1480.3, new=(qd-large-mutate=1021.0, qd-mutate=1035.9, template-m2-wheel-biased=710.0, curl-right=908.3, curl-left=826.0). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=57729.779
Speed: 16.299993 creatures/sec. Server status: 15:41:25: 8177x RT, 136.3 creatures/sec. Fitness: best=2763.6, avg=1480.3, new=(qd-large-mutate=1021.0, qd-mutate=1035.9, template-m2-wheel-biased=710.0, curl-right=908.3, curl-left=826.0). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=57729.779
Speed: 16.500000 creatures/sec. Server status: 15:41:35: 7782x RT, 129.7 creatures/sec. Fitness: best=2763.6, avg=1487.3, new=(qd-mutate=1012.1, qd-large-mutate=1125.2, curl-left=1130.6, template-m2-wheel-biased=782.5, curl-right=753.5). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=58003.281
Speed: 16.399966 creatures/sec. Server status: 15:41:35: 7782x RT, 129.7 creatures/sec. Fitness: best=2763.6, avg=1487.3, new=(qd-mutate=1012.1, qd-large-mutate=1125.2, curl-left=1130.6, template-m2-wheel-biased=782.5, curl-right=753.5). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=58003.281
Speed: 16.599969 creatures/sec. Server status: 15:41:35: 7782x RT, 129.7 creatures/sec. Fitness: best=2763.6, avg=1487.3, new=(qd-mutate=1012.1, qd-large-mutate=1125.2, curl-left=1130.6, template-m2-wheel-biased=782.5, curl-right=753.5). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=58003.281
Speed: 16.599998 creatures/sec. Server status: 15:41:35: 7782x RT, 129.7 creatures/sec. Fitness: best=2763.6, avg=1487.3, new=(qd-mutate=1012.1, qd-large-mutate=1125.2, curl-left=1130.6, template-m2-wheel-biased=782.5, curl-right=753.5). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=58003.281
Speed: 16.499962 creatures/sec. Server status: 15:41:35: 7782x RT, 129.7 creatures/sec. Fitness: best=2763.6, avg=1487.3, new=(qd-mutate=1012.1, qd-large-mutate=1125.2, curl-left=1130.6, template-m2-wheel-biased=782.5, curl-right=753.5). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=58003.281
Speed: 16.599967 creatures/sec. Server status: 15:41:35: 7782x RT, 129.7 creatures/sec. Fitness: best=2763.6, avg=1487.3, new=(qd-mutate=1012.1, qd-large-mutate=1125.2, curl-left=1130.6, template-m2-wheel-biased=782.5, curl-right=753.5). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=58003.281
Speed: 16.699995 creatures/sec. Server status: 15:41:35: 7782x RT, 129.7 creatures/sec. Fitness: best=2763.6, avg=1487.3, new=(qd-mutate=1012.1, qd-large-mutate=1125.2, curl-left=1130.6, template-m2-wheel-biased=782.5, curl-right=753.5). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=58003.281
Speed: 16.499993 creatures/sec. Server status: 15:41:35: 7782x RT, 129.7 creatures/sec. Fitness: best=2763.6, avg=1487.3, new=(qd-mutate=1012.1, qd-large-mutate=1125.2, curl-left=1130.6, template-m2-wheel-biased=782.5, curl-right=753.5). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=58003.281
Speed: 16.699988 creatures/sec. Server status: 15:41:45: 8076x RT, 134.6 creatures/sec. Fitness: best=2763.6, avg=1492.7, new=(template-m2-wheel-biased=739.3, qd-mutate=1123.4, qd-large-mutate=1131.7, curl-right=651.6, curl-left=811.8). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=58215.148
Speed: 16.699996 creatures/sec. Server status: 15:41:45: 8076x RT, 134.6 creatures/sec. Fitness: best=2763.6, avg=1492.7, new=(template-m2-wheel-biased=739.3, qd-mutate=1123.4, qd-large-mutate=1131.7, curl-right=651.6, curl-left=811.8). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=58215.148
Speed: 16.499988 creatures/sec. Server status: 15:41:45: 8076x RT, 134.6 creatures/sec. Fitness: best=2763.6, avg=1492.7, new=(template-m2-wheel-biased=739.3, qd-mutate=1123.4, qd-large-mutate=1131.7, curl-right=651.6, curl-left=811.8). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=58215.148
Speed: 16.999987 creatures/sec. Server status: 15:41:45: 8076x RT, 134.6 creatures/sec. Fitness: best=2763.6, avg=1492.7, new=(template-m2-wheel-biased=739.3, qd-mutate=1123.4, qd-large-mutate=1131.7, curl-right=651.6, curl-left=811.8). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=58215.148
Speed: 16.899996 creatures/sec. Server status: 15:41:45: 8076x RT, 134.6 creatures/sec. Fitness: best=2763.6, avg=1492.7, new=(template-m2-wheel-biased=739.3, qd-mutate=1123.4, qd-large-mutate=1131.7, curl-right=651.6, curl-left=811.8). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=58215.148
Speed: 16.499950 creatures/sec. Server status: 15:41:45: 8076x RT, 134.6 creatures/sec. Fitness: best=2763.6, avg=1492.7, new=(template-m2-wheel-biased=739.3, qd-mutate=1123.4, qd-large-mutate=1131.7, curl-right=651.6, curl-left=811.8). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=58215.148
Speed: 17.100000 creatures/sec. Server status: 15:41:45: 8076x RT, 134.6 creatures/sec. Fitness: best=2763.6, avg=1492.7, new=(template-m2-wheel-biased=739.3, qd-mutate=1123.4, qd-large-mutate=1131.7, curl-right=651.6, curl-left=811.8). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=58215.148
Speed: 16.899995 creatures/sec. Server status: 15:41:45: 8076x RT, 134.6 creatures/sec. Fitness: best=2763.6, avg=1492.7, new=(template-m2-wheel-biased=739.3, qd-mutate=1123.4, qd-large-mutate=1131.7, curl-right=651.6, curl-left=811.8). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=58215.148
Speed: 16.799978 creatures/sec. Server status: 15:41:55: 8050x RT, 134.2 creatures/sec. Fitness: best=2876.1, avg=1519.9, new=(qd-mutate=1084.7, qd-large-mutate=1123.8, template-m2-wheel-biased=972.4, curl-right=664.1, curl-left=726.7). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=59275.156
Speed: 16.599967 creatures/sec. Server status: 15:41:55: 8050x RT, 134.2 creatures/sec. Fitness: best=2876.1, avg=1519.9, new=(qd-mutate=1084.7, qd-large-mutate=1123.8, template-m2-wheel-biased=972.4, curl-right=664.1, curl-left=726.7). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=59275.156
Speed: 16.799978 creatures/sec. Server status: 15:41:55: 8050x RT, 134.2 creatures/sec. Fitness: best=2876.1, avg=1519.9, new=(qd-mutate=1084.7, qd-large-mutate=1123.8, template-m2-wheel-biased=972.4, curl-right=664.1, curl-left=726.7). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=59275.156
Speed: 16.899990 creatures/sec. Server status: 15:41:55: 8050x RT, 134.2 creatures/sec. Fitness: best=2876.1, avg=1519.9, new=(qd-mutate=1084.7, qd-large-mutate=1123.8, template-m2-wheel-biased=972.4, curl-right=664.1, curl-left=726.7). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=59275.156
Speed: 16.999998 creatures/sec. Server status: 15:41:55: 8050x RT, 134.2 creatures/sec. Fitness: best=2876.1, avg=1519.9, new=(qd-mutate=1084.7, qd-large-mutate=1123.8, template-m2-wheel-biased=972.4, curl-right=664.1, curl-left=726.7). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=59275.156
Speed: 16.299993 creatures/sec. Server status: 15:41:55: 8050x RT, 134.2 creatures/sec. Fitness: best=2876.1, avg=1519.9, new=(qd-mutate=1084.7, qd-large-mutate=1123.8, template-m2-wheel-biased=972.4, curl-right=664.1, curl-left=726.7). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=59275.156
Speed: 17.299969 creatures/sec. Server status: 15:41:55: 8050x RT, 134.2 creatures/sec. Fitness: best=2876.1, avg=1519.9, new=(qd-mutate=1084.7, qd-large-mutate=1123.8, template-m2-wheel-biased=972.4, curl-right=664.1, curl-left=726.7). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=59275.156
