Using 8 worker threads.
Speed: 4.496260 creatures/sec. Server status: 19:54:09: 2056x RT, 34.3 creatures/sec. Fitness: best=1059.4, avg=743.0, new=(qd-mutate=611.5). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 4.296540 creatures/sec. Server status: 19:54:09: 2056x RT, 34.3 creatures/sec. Fitness: best=1059.4, avg=743.0, new=(qd-mutate=611.5). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 4.188944 creatures/sec. Server status: 19:54:09: 2056x RT, 34.3 creatures/sec. Fitness: best=1059.4, avg=743.0, new=(qd-mutate=611.5). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 4.089495 creatures/sec. Server status: 19:54:09: 2056x RT, 34.3 creatures/sec. Fitness: best=1059.4, avg=743.0, new=(qd-mutate=611.5). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 4.282056 creatures/sec. Server status: 19:54:09: 2056x RT, 34.3 creatures/sec. Fitness: best=1059.4, avg=743.0, new=(qd-mutate=611.5). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 4.296342 creatures/sec. Server status: 19:54:09: 2056x RT, 34.3 creatures/sec. Fitness: best=1059.4, avg=743.0, new=(qd-mutate=611.5). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 3.499338 creatures/sec. Server status: 19:54:20: 1919x RT, 32.0 creatures/sec. Fitness: best=1123.5, avg=748.2, new=(qd-mutate=666.4). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 3.199999 creatures/sec. Server status: 19:54:20: 1919x RT, 32.0 creatures/sec. Fitness: best=1123.5, avg=748.2, new=(qd-mutate=666.4). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 3.399998 creatures/sec. Server status: 19:54:20: 1919x RT, 32.0 creatures/sec. Fitness: best=1123.5, avg=748.2, new=(qd-mutate=666.4). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 3.499995 creatures/sec. Server status: 19:54:20: 1919x RT, 32.0 creatures/sec. Fitness: best=1123.5, avg=748.2, new=(qd-mutate=666.4). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 3.099999 creatures/sec. Server status: 19:54:20: 1919x RT, 32.0 creatures/sec. Fitness: best=1123.5, avg=748.2, new=(qd-mutate=666.4). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 3.199909 creatures/sec. Server status: 19:54:20: 1919x RT, 32.0 creatures/sec. Fitness: best=1123.5, avg=748.2, new=(qd-mutate=666.4). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 3.399872 creatures/sec. Server status: 19:54:20: 1919x RT, 32.0 creatures/sec. Fitness: best=1123.5, avg=748.2, new=(qd-mutate=666.4). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 3.289207 creatures/sec. Server status: 19:54:20: 1919x RT, 32.0 creatures/sec. Fitness: best=1123.5, avg=748.2, new=(qd-mutate=666.4). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 4.099989 creatures/sec. Server status: 19:54:28: 2400x RT, 40.0 creatures/sec. Fitness: best=1123.5, avg=750.1, new=(qd-mutate=622.9). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
Speed: 3.999998 creatures/sec. Server status: 19:54:28: 2400x RT, 40.0 creatures/sec. Fitness: best=1123.5, avg=750.1, new=(qd-mutate=622.9). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
Speed: 3.899984 creatures/sec. Server status: 19:54:28: 2400x RT, 40.0 creatures/sec. Fitness: best=1123.5, avg=750.1, new=(qd-mutate=622.9). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
Speed: 3.899988 creatures/sec. Server status: 19:54:28: 2400x RT, 40.0 creatures/sec. Fitness: best=1123.5, avg=750.1, new=(qd-mutate=622.9). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
Speed: 4.388940 creatures/sec. Server status: 19:54:28: 2400x RT, 40.0 creatures/sec. Fitness: best=1123.5, avg=750.1, new=(qd-mutate=622.9). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
Speed: 4.300000 creatures/sec. Server status: 19:54:28: 2400x RT, 40.0 creatures/sec. Fitness: best=1123.5, avg=750.1, new=(qd-mutate=622.9). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
Speed: 4.192844 creatures/sec. Server status: 19:54:28: 2400x RT, 40.0 creatures/sec. Fitness: best=1123.5, avg=750.1, new=(qd-mutate=622.9). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
Speed: 3.999088 creatures/sec. Server status: 19:54:28: 2400x RT, 40.0 creatures/sec. Fitness: best=1123.5, avg=750.1, new=(qd-mutate=622.9). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
Speed: 7.499923 creatures/sec. Server status: 19:54:38: 3739x RT, 62.3 creatures/sec. Fitness: best=1123.5, avg=756.1, new=(qd-mutate=644.5). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
Speed: 7.399857 creatures/sec. Server status: 19:54:38: 3739x RT, 62.3 creatures/sec. Fitness: best=1123.5, avg=756.1, new=(qd-mutate=644.5). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
Speed: 7.099190 creatures/sec. Server status: 19:54:38: 3739x RT, 62.3 creatures/sec. Fitness: best=1123.5, avg=756.1, new=(qd-mutate=644.5). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
Speed: 7.297848 creatures/sec. Server status: 19:54:38: 3739x RT, 62.3 creatures/sec. Fitness: best=1123.5, avg=756.1, new=(qd-mutate=644.5). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
Speed: 7.499977 creatures/sec. Server status: 19:54:38: 3739x RT, 62.3 creatures/sec. Fitness: best=1123.5, avg=756.1, new=(qd-mutate=644.5). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
Speed: 7.099094 creatures/sec. Server status: 19:54:38: 3739x RT, 62.3 creatures/sec. Fitness: best=1123.5, avg=756.1, new=(qd-mutate=644.5). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
Speed: 7.299981 creatures/sec. Server status: 19:54:38: 3739x RT, 62.3 creatures/sec. Fitness: best=1123.5, avg=756.1, new=(qd-mutate=644.5). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
