Listening on 127.0.0.1:9999
--> new robust best creature found through curl-right! Fitness=480.29041314834376 domains=[392.236267, 607.434021, 770.52771]
19:57:05: 1162x RT, 19.4 creatures/sec. Fitness: best=1284.2, avg=798.1, new=(qd-mutate=681.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:57:08: 799x RT, 13.3 creatures/sec. Fitness: best=1284.2, avg=798.1, new=(qd-mutate=674.8). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:57:10: 1167x RT, 19.4 creatures/sec. Fitness: best=1284.2, avg=798.1, new=(qd-mutate=629.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=23
3130371 bytes written to /Users/dag/projects/Machine-Evolved-credible-training/training-runs/me-v2-harmonic-qd-01-double-gravity-8w/config.json. 
19:57:12: 957x RT, 16.0 creatures/sec. Fitness: best=1284.2, avg=798.1, new=(qd-mutate=705.7). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:57:14: 803x RT, 13.4 creatures/sec. Fitness: best=1284.2, avg=798.1, new=(qd-mutate=654.1). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:57:16: 1062x RT, 17.7 creatures/sec. Fitness: best=1284.2, avg=798.1, new=(qd-mutate=704.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:57:18: 1585x RT, 26.4 creatures/sec. Fitness: best=1284.2, avg=798.1, new=(qd-mutate=618.5). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:57:20: 2323x RT, 38.7 creatures/sec. Fitness: best=1284.2, avg=788.9, new=(qd-mutate=621.7). MAP-Elites(8x8, morphologies=3): occupied=26, pending=192, in flight=24
19:57:22: 2625x RT, 43.8 creatures/sec. Fitness: best=1284.2, avg=788.9, new=(qd-mutate=601.4). MAP-Elites(8x8, morphologies=3): occupied=26, pending=192, in flight=24
19:57:24: 1845x RT, 30.7 creatures/sec. Fitness: best=1284.2, avg=788.9, new=(qd-mutate=612.8). MAP-Elites(8x8, morphologies=3): occupied=26, pending=192, in flight=24
19:57:26: 1377x RT, 22.9 creatures/sec. Fitness: best=1284.2, avg=788.9, new=(qd-mutate=559.9). MAP-Elites(8x8, morphologies=3): occupied=26, pending=192, in flight=24
19:57:28: 1485x RT, 24.8 creatures/sec. Fitness: best=1284.2, avg=788.9, new=(qd-mutate=634.6). MAP-Elites(8x8, morphologies=3): occupied=26, pending=192, in flight=24
19:57:30: 1746x RT, 29.1 creatures/sec. Fitness: best=1284.2, avg=788.9, new=(qd-mutate=610.1). MAP-Elites(8x8, morphologies=3): occupied=26, pending=192, in flight=24
19:57:32: 1465x RT, 24.4 creatures/sec. Fitness: best=1284.2, avg=788.9, new=(qd-mutate=644.2). MAP-Elites(8x8, morphologies=3): occupied=26, pending=192, in flight=24
19:57:35: 1265x RT, 21.1 creatures/sec. Fitness: best=1284.2, avg=788.9, new=(qd-mutate=538.7). MAP-Elites(8x8, morphologies=3): occupied=26, pending=192, in flight=24
19:57:37: 960x RT, 16.0 creatures/sec. Fitness: best=1284.2, avg=788.9, new=(qd-mutate=730.0). MAP-Elites(8x8, morphologies=3): occupied=26, pending=192, in flight=24
19:57:39: 937x RT, 15.6 creatures/sec. Fitness: best=1284.2, avg=788.9, new=(qd-mutate=579.2). MAP-Elites(8x8, morphologies=3): occupied=26, pending=192, in flight=24
19:57:41: 2408x RT, 40.1 creatures/sec. Fitness: best=1284.2, avg=792.8, new=(qd-mutate=668.7). MAP-Elites(8x8, morphologies=3): occupied=26, pending=192, in flight=24
19:57:43: 1767x RT, 29.5 creatures/sec. Fitness: best=1284.2, avg=801.8, new=(qd-mutate=628.8). MAP-Elites(8x8, morphologies=3): occupied=26, pending=192, in flight=24
19:57:45: 2486x RT, 41.4 creatures/sec. Fitness: best=1284.2, avg=801.8, new=(qd-mutate=602.5). MAP-Elites(8x8, morphologies=3): occupied=26, pending=192, in flight=24
19:57:47: 2589x RT, 43.2 creatures/sec. Fitness: best=1284.2, avg=801.8, new=(qd-mutate=632.6). MAP-Elites(8x8, morphologies=3): occupied=26, pending=192, in flight=24
19:57:49: 2614x RT, 43.6 creatures/sec. Fitness: best=1284.2, avg=801.8, new=(qd-mutate=615.7). MAP-Elites(8x8, morphologies=3): occupied=26, pending=192, in flight=24
19:57:51: 2180x RT, 36.3 creatures/sec. Fitness: best=1284.2, avg=801.8, new=(qd-mutate=643.6). MAP-Elites(8x8, morphologies=3): occupied=26, pending=192, in flight=24
19:57:53: 2429x RT, 40.5 creatures/sec. Fitness: best=1284.2, avg=801.8, new=(qd-mutate=610.7). MAP-Elites(8x8, morphologies=3): occupied=26, pending=192, in flight=24
