Listening on 127.0.0.1:9999
--> new robust best creature found through template-m1-balanced! Fitness=435.646299949929 domains=[546.106262, 542.748718, 385.881287]
21:34:18: 5186x RT, 86.4 creatures/sec. Fitness: best=1207.8, avg=782.3, new=(qd-mutate=661.3). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:34:20: 5088x RT, 84.8 creatures/sec. Fitness: best=1207.8, avg=782.3, new=(qd-mutate=616.4). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:34:22: 5575x RT, 92.9 creatures/sec. Fitness: best=1207.8, avg=782.3, new=(qd-mutate=665.0). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:34:24: 5600x RT, 93.3 creatures/sec. Fitness: best=1207.8, avg=782.3, new=(qd-mutate=688.2). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:34:26: 5188x RT, 86.5 creatures/sec. Fitness: best=1207.8, avg=782.3, new=(qd-mutate=670.5). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:34:28: 5525x RT, 92.1 creatures/sec. Fitness: best=1207.8, avg=798.4, new=(qd-mutate=643.0). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:34:30: 5764x RT, 96.1 creatures/sec. Fitness: best=1207.8, avg=801.4, new=(qd-mutate=683.0). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:34:32: 5714x RT, 95.2 creatures/sec. Fitness: best=1207.8, avg=810.4, new=(qd-mutate=643.5). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:34:34: 5608x RT, 93.5 creatures/sec. Fitness: best=1207.8, avg=816.1, new=(qd-mutate=668.4). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:34:36: 5213x RT, 86.9 creatures/sec. Fitness: best=1207.8, avg=816.9, new=(qd-mutate=604.3). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:34:39: 5593x RT, 93.2 creatures/sec. Fitness: best=1207.8, avg=816.9, new=(qd-mutate=617.6). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:34:41: 5837x RT, 97.3 creatures/sec. Fitness: best=1207.8, avg=816.9, new=(qd-mutate=666.6). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:34:43: 5781x RT, 96.4 creatures/sec. Fitness: best=1207.8, avg=821.3, new=(qd-mutate=659.2). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:34:45: 5745x RT, 95.8 creatures/sec. Fitness: best=1207.8, avg=822.6, new=(qd-mutate=638.9). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:34:47: 5818x RT, 97.0 creatures/sec. Fitness: best=1207.8, avg=822.6, new=(qd-mutate=656.9). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:34:49: 5778x RT, 96.3 creatures/sec. Fitness: best=1207.8, avg=822.6, new=(qd-mutate=619.6). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
4885308 bytes written to /Users/dag/projects/Machine-Evolved-credible-training/training-runs/me-v2-harmonic-qd-01-double-gravity-double-population-8w/config.json. 
21:34:51: 5856x RT, 97.6 creatures/sec. Fitness: best=1207.8, avg=830.1, new=(qd-mutate=661.9). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:34:53: 5796x RT, 96.6 creatures/sec. Fitness: best=1207.8, avg=830.1, new=(qd-mutate=647.8). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:34:55: 5700x RT, 95.0 creatures/sec. Fitness: best=1207.8, avg=830.9, new=(qd-mutate=629.7). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:34:57: 5785x RT, 96.4 creatures/sec. Fitness: best=1207.8, avg=837.0, new=(qd-mutate=665.3). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:34:59: 5782x RT, 96.4 creatures/sec. Fitness: best=1207.8, avg=837.0, new=(qd-mutate=639.2). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:35:01: 5781x RT, 96.4 creatures/sec. Fitness: best=1207.8, avg=837.0, new=(qd-mutate=623.4). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:35:03: 5629x RT, 93.8 creatures/sec. Fitness: best=1207.8, avg=837.2, new=(qd-mutate=668.3). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:35:05: 5779x RT, 96.3 creatures/sec. Fitness: best=1207.8, avg=834.8, new=(qd-mutate=629.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:07: 5541x RT, 92.3 creatures/sec. Fitness: best=1207.8, avg=834.9, new=(qd-mutate=659.3). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:09: 5240x RT, 87.3 creatures/sec. Fitness: best=1207.8, avg=838.5, new=(qd-mutate=646.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:12: 5609x RT, 93.5 creatures/sec. Fitness: best=1207.8, avg=838.5, new=(qd-mutate=626.1). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:14: 5791x RT, 96.5 creatures/sec. Fitness: best=1207.8, avg=838.5, new=(qd-mutate=660.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:16: 5822x RT, 97.0 creatures/sec. Fitness: best=1207.8, avg=838.5, new=(qd-mutate=633.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:18: 5647x RT, 94.1 creatures/sec. Fitness: best=1207.8, avg=838.5, new=(qd-mutate=659.6). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:20: 5507x RT, 91.8 creatures/sec. Fitness: best=1207.8, avg=838.5, new=(qd-mutate=672.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:22: 5757x RT, 96.0 creatures/sec. Fitness: best=1207.8, avg=838.5, new=(qd-mutate=629.2). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:24: 5784x RT, 96.4 creatures/sec. Fitness: best=1207.8, avg=838.5, new=(qd-mutate=636.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:26: 5855x RT, 97.6 creatures/sec. Fitness: best=1207.8, avg=838.5, new=(qd-mutate=643.7). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:28: 5589x RT, 93.2 creatures/sec. Fitness: best=1207.8, avg=838.5, new=(qd-mutate=644.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:30: 5871x RT, 97.8 creatures/sec. Fitness: best=1207.8, avg=838.5, new=(qd-mutate=630.2). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:32: 5143x RT, 85.7 creatures/sec. Fitness: best=1207.8, avg=839.5, new=(qd-mutate=663.5). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:34: 5496x RT, 91.6 creatures/sec. Fitness: best=1207.8, avg=843.4, new=(qd-mutate=638.3). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:36: 5773x RT, 96.2 creatures/sec. Fitness: best=1207.8, avg=843.4, new=(qd-mutate=612.2). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:38: 5779x RT, 96.3 creatures/sec. Fitness: best=1207.8, avg=843.4, new=(qd-mutate=657.3). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:40: 5620x RT, 93.7 creatures/sec. Fitness: best=1207.8, avg=843.4, new=(qd-mutate=624.8). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:43: 5833x RT, 97.2 creatures/sec. Fitness: best=1207.8, avg=843.4, new=(qd-mutate=637.0). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:45: 5786x RT, 96.4 creatures/sec. Fitness: best=1207.8, avg=843.4, new=(qd-mutate=624.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:47: 5752x RT, 95.9 creatures/sec. Fitness: best=1207.8, avg=843.4, new=(qd-mutate=639.6). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:49: 5778x RT, 96.3 creatures/sec. Fitness: best=1207.8, avg=853.1, new=(qd-mutate=645.2). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
5654740 bytes written to /Users/dag/projects/Machine-Evolved-credible-training/training-runs/me-v2-harmonic-qd-01-double-gravity-double-population-8w/config.json. 
21:35:51: 5741x RT, 95.7 creatures/sec. Fitness: best=1207.8, avg=853.1, new=(qd-mutate=623.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:53: 5780x RT, 96.3 creatures/sec. Fitness: best=1207.8, avg=853.1, new=(qd-mutate=658.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:55: 5766x RT, 96.1 creatures/sec. Fitness: best=1207.8, avg=858.6, new=(qd-mutate=627.5). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:57: 5750x RT, 95.8 creatures/sec. Fitness: best=1207.8, avg=858.6, new=(qd-mutate=654.1). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:35:59: 5781x RT, 96.3 creatures/sec. Fitness: best=1207.8, avg=858.6, new=(qd-mutate=595.7). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:01: 5731x RT, 95.5 creatures/sec. Fitness: best=1207.8, avg=858.6, new=(qd-mutate=663.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:03: 5721x RT, 95.3 creatures/sec. Fitness: best=1207.8, avg=858.6, new=(qd-mutate=637.2). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:05: 5766x RT, 96.1 creatures/sec. Fitness: best=1207.8, avg=858.6, new=(qd-mutate=667.2). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:07: 5719x RT, 95.3 creatures/sec. Fitness: best=1207.8, avg=858.6, new=(qd-mutate=599.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:09: 5794x RT, 96.6 creatures/sec. Fitness: best=1207.8, avg=858.7, new=(qd-mutate=642.0). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
